delhi,DEL
mumbai,BOM
bangalore,BLR
goa,GOI
chennai,MAA
hyderabad,HYD
kolkata,CCU
pune,PNQ
agartala,IXA
agatti,AGX
agra,AGR
ahmedabad,AMD
aizawl,AJL
allahabad,IXD
along,IXV
amritsar,ATQ
aurangabad,IXU
bagdogra,IXB
bhubaneswar,BBI
puttaparthi,BEK
belgaum,IXG
bhuj,BHJ
bhopal,BHO
bhavnagar,BHU
cochin,COK
coimbatore,CJB
chandigarh,IXC
dharamshala,DHM
dehradun,DED
dibrugarh,DIB
dimapur,DMU
diu,DIU
guwahati,GAU
gaya,GAY
gorakhpur,GOP
gwalior,GWL
hubli,HBX
indore,IDR
imphal,IMF
jammu,IXJ
jamshedpur,IXW
jaipur,JAI
jodhpur,JDH
jamnagar,JGA
jabalpur,JLR
jorhat,JRH
jaisalmer,JSA
kailashahar,IXH
kamalpur,IXQ
kandla,IXY
kanpur,KNU
keshod,IKK
khajuraho,HJR
khowai,IXN
kolhapur,KLH
kozhikode,CCJ
kulu,KUU
latur,LTU
leh,IXL
lilabari,IXI
lucknow,LKO
ludhiana,LUH
madurai,IXM
mangalore,IXE
muzaffarnagar,MZA
mysore,MYQ
nasik,ISK
nagpur,NAG
nanded,NDC
pantnagar,PGH
passighat,IXT
pathankot,IXP
patna,PAT
porbandar,PBD
port-blair,IXZ
ranchi,IXR
rajkot,RAJ
rajahmundry,RJA
raipur,RPR
rupsi,RUP
salem,SXV
silchar,IXS
siliguri,IXB
shillong,SHL
shimla,SLV
sholapur,SSE
surat,STV
srinagar,SXR
tuticorin,TCR
tezpur,TEZ
tirupati,TIR
trivandrum,TRV
tiruchirapally,TRZ
udaipur,UDR
vadodara,BDQ
varanasi,VNS
vijayawada,VGA
visakhapatnam,VTZ
pondicherry,PNY
